nome,ativo
aeroporto, true
condomínio, true
feira, true
núcleo, true
residencial, true
trevo, true
alameda, true
conjunto, true
jardim, true
parque, true
rodovia, true
vale, true
área, true
distrito, true
ladeira, true
passarela, true
rua, true
vereda, true
avenida, true
esplanada, true
lago, true
pátio, true
setor, true
via, true
campo, true
estação, true
lagoa, true
praça, true
sítio, true
viaduto, true
chácara, true
estrada, true
largo, true
quadra, true
travessa, true
viela, true
colônia, true
fazenda, true
loteamento, true
recanto, true
trecho, true
vila, true
